ingredient,quantity,cost
Apple cider vinegar,30.0,0.3
Avocado,1.0,1.0
BBQ sauce,50.0,0.5
Basil,5.0,0.2
Beef strips,300.0,3.5
Bell peppers,4.0,1.8
Broccoli,2.0,1.4
Cabbage,0.5,0.5
Carrots,3.0,0.5
Cheddar cheese,50.0,0.5
Cherry tomatoes,300.0,1.9
Chicken breast,300.0,2.5
Chicken legs,500.0,3.5
Cilantro,10.0,0.2
Cucumber,1.0,0.5
Feta cheese,50.0,1.0
Garlic,8.0,0.8
Ginger,1.0,0.1
Ground beef,300.0,3.5
Lemon juice,1.0,0.3
Lettuce,1.0,0.3
Mayonnaise,50.0,0.3
Olive oil,70.0,1.1
Onion,2.0,0.6
Parmesan cheese,50.0,0.8
Pasta,200.0,0.5
Pepper,5.0,0.4
Quinoa,150.0,1.0
Red onion,2.0,0.4
Rice,150.0,0.3
Salmon fillet,200.0,4.0
Salt,11.0,0.4
Sour cream,30.0,0.4
Soy sauce,30.0,0.5
Spaghetti,200.0,0.5
Sugar,10.0,0.1
Taco shells,6.0,1.0
Tomato,1.0,0.2
Tomato sauce,400.0,1.0
Vegetable oil,20.0,0.1
Zucchini,2.0,0.8
